language,script,resource_tier,is_latin,copy_bleu,copy_chrf,entities_only_bleu,entities_only_chrf,entity_share_chrf
spa_Latn,Latn,high,True,1.5707825948869008,19.382391963189107,0.0006146761803712,4.855393704294776,0.25050539239512354
fra_Latn,Latn,high,True,2.09477393573322,21.18167415635377,0.0009726214582104,5.1680787079425095,0.24398820743790287
deu_Latn,Latn,high,True,2.4168235932126763,18.85319733091453,0.0035234973874131,5.464156182932876,0.2898264992947921
por_Latn,Latn,high,True,2.2517037599727985,20.880836842560296,0.0014808069809181,5.373309236225696,0.25733208284418785
ita_Latn,Latn,high,True,2.176638548449145,20.59895380452889,0.0014810673597107,5.369252669019269,0.2606565712011444
zho_Hans,Hans,high,False,0.3996632128594972,4.184646190092116,2.477274053961644,5.9858619485645415,1.4304344206535595
jpn_Jpan,Jpan,high,False,0.1145390773452836,1.7501770027657249,0.2491990076599433,1.4554304115894274,0.8315904101639303
rus_Cyrl,Cyrl,high,False,0.8946822271149842,2.206425642862135,0.0013583315661564,0.6307512427779911,0.28587015602292953
arb_Arab,Arab,high,False,0.6133560525778495,1.505155755047123,0.0011320787237805,0.4813331176648392,0.31978957396988444
kor_Hang,Hang,high,False,0.7630658726070664,3.7808414069154495,0.0078235195732185,2.3642797920257785,0.6253316491142233
ben_Beng,Beng,mid,False,0.4560793702633549,1.186335148953967,0.0021705987529372,0.4127228351862025,0.34789733369201326
hin_Deva,Deva,mid,False,0.6172411301969573,1.6125652791252418,0.0003047530682695,0.5364192189486078,0.3326496148048008
urd_Arab,Arab,mid,False,0.3197331627836699,0.6540547659736309,0.0002393185375815,0.4842358838451172,0.7403598429930863
tam_Taml,Taml,mid,False,0.9706625140373614,2.221699343853403,0.0089444717788889,0.5824879916350432,0.26218128625124987
tel_Telu,Telu,mid,False,1.371322229960172,3.048907990607153,0.0119059437444473,1.304464721772593,0.4278465358060296
mar_Deva,Deva,mid,False,0.5951232475789089,1.86238777209982,0.0019544043418335,0.4046015824210007,0.21724883962528235
npi_Deva,Deva,mid,False,0.9082980401310116,1.6951077578898022,0.0098282471122427,1.051525410132225,0.6203295367140806
swh_Latn,Latn,low,True,2.214994281493188,14.77804191803556,0.0037128197135345,5.319581264789839,0.3599652304611252
yor_Latn,Latn,low,True,2.2744085918285384,12.962354771568195,0.0012642619731842,5.878893977847541,0.4535359571196421
zul_Latn,Latn,low,True,2.088152243121084,15.74051202544523,0.0227952394717696,5.21376186527374,0.33123203723268113
hau_Latn,Latn,low,True,2.534264991005033,15.229762937585608,0.0014899280795742,5.685357414179361,0.37330570656148815
amh_Ethi,Ethi,low,False,0.4300087756538934,0.958462498328432,0.0107528254784968,0.8240179127807546,0.8597289035490173
ibo_Latn,Latn,low,True,2.2173363031415656,14.905804824941546,0.0011665184097176,5.386948305202642,0.36139935873766327
vie_Latn,Latn,mid,True,1.64171470244075,11.786125616253583,0.0001582791657019,5.1035924140143285,0.43301697098631386
ind_Latn,Latn,mid,True,2.7418265111789064,18.280689180384257,0.0066879518720765,5.696233811843434,0.3115984170857009
tha_Thai,Thai,mid,False,0.6348875209190313,3.0696397485219027,1.444516049608726,2.997173505309496,0.9763925902877363
khm_Khmr,Khmr,mid,False,1.2131767959813622,4.626126065439145,1.674279082029818,4.26899518715638,0.9228013086476786
sin_Sinh,Sinh,low,False,0.633419528752451,1.9893815672364088,0.0009529510080538,0.5755546307308684,0.2893133425029228
lao_Laoo,Laoo,low,False,2.046464332639939,7.859196410261632,1.112718903057953,5.302132000618861,0.6746404751630776
mya_Mymr,Mymr,low,False,0.4631037228830793,1.1843608727023986,0.0968413912535583,0.8327884683311986,0.703154323589731
kat_Geor,Geor,low,False,0.7367045842833146,2.2260098850583048,0.0039652900783962,0.6105192076204814,0.27426617092695005
khk_Cyrl,Cyrl,low,False,0.5842904314128586,1.7614378694196715,0.0021266444600921,0.4814505056603857,0.2733281224497608
