language,script,resource_tier,entities_only_bleu,entities_only_chrf
spa_Latn,Latn,high,0.0006146761803712566,4.855393704294776
fra_Latn,Latn,high,0.000972621458210493,5.1680787079425095
deu_Latn,Latn,high,0.003523497387413165,5.464156182932876
por_Latn,Latn,high,0.001480806980918104,5.373309236225696
ita_Latn,Latn,high,0.0014810673597107306,5.369252669019269
zho_Hans,Hans,high,2.477274053961644,5.9858619485645415
jpn_Jpan,Jpan,high,0.24919900765994335,1.4554304115894274
rus_Cyrl,Cyrl,high,0.0013583315661564598,0.6307512427779911
arb_Arab,Arab,high,0.0011320787237805302,0.48133311766483927
kor_Hang,Hang,high,0.007823519573218576,2.3642797920257785
ben_Beng,Beng,mid,0.002170598752937206,0.4127228351862025
hin_Deva,Deva,mid,0.0003047530682695428,0.5364192189486078
urd_Arab,Arab,mid,0.000239318537581528,0.4842358838451172
tam_Taml,Taml,mid,0.00894447177888899,0.5824879916350432
tel_Telu,Telu,mid,0.011905943744447332,1.3044647217725933
mar_Deva,Deva,mid,0.0019544043418335323,0.4046015824210007
npi_Deva,Deva,mid,0.009828247112242788,1.051525410132225
swh_Latn,Latn,low,0.0037128197135345127,5.319581264789839
yor_Latn,Latn,low,0.0012642619731842255,5.878893977847541
zul_Latn,Latn,low,0.0227952394717696,5.21376186527374
hau_Latn,Latn,low,0.001489928079574212,5.685357414179361
amh_Ethi,Ethi,low,0.010752825478496863,0.8240179127807546
ibo_Latn,Latn,low,0.0011665184097176806,5.386948305202642
vie_Latn,Latn,mid,0.00015827916570196159,5.1035924140143285
ind_Latn,Latn,mid,0.006687951872076526,5.696233811843434
tha_Thai,Thai,mid,1.444516049608726,2.9971735053094957
khm_Khmr,Khmr,mid,1.6742790820298181,4.26899518715638
sin_Sinh,Sinh,low,0.0009529510080538016,0.5755546307308684
lao_Laoo,Laoo,low,1.112718903057953,5.302132000618861
mya_Mymr,Mymr,low,0.09684139125355837,0.8327884683311986
kat_Geor,Geor,low,0.003965290078396277,0.6105192076204814
khk_Cyrl,Cyrl,low,0.0021266444600921055,0.4814505056603857
