language,script,resource_tier,entities_only_bleu,entities_only_chrf
spa_Latn,Latn,high,0.0009007238386478408,4.962982636512145
fra_Latn,Latn,high,0.0016142869651572243,5.323613326171679
deu_Latn,Latn,high,0.005105190190939557,5.651524534569638
por_Latn,Latn,high,0.0025401064762988,5.552306047163266
ita_Latn,Latn,high,0.0024610408262889,5.546842272996995
zho_Hans,Hans,high,2.735614461535012,6.261305100728349
jpn_Jpan,Jpan,high,0.20433435030385516,2.024084656347667
rus_Cyrl,Cyrl,high,0.0019153324261661987,0.6790598547684056
arb_Arab,Arab,high,0.002176839052878801,0.5382799448577371
kor_Hang,Hang,high,0.013832166468395723,2.508165194605191
ben_Beng,Beng,mid,0.002747536892923935,0.4318750195121488
hin_Deva,Deva,mid,0.0004566588589197273,0.5684981065584171
urd_Arab,Arab,mid,0.00031801913680590304,0.49819091194437976
tam_Taml,Taml,mid,0.011295681389209927,0.6025497045060455
tel_Telu,Telu,mid,0.01709023725318625,1.4083250467041337
mar_Deva,Deva,mid,0.0030168811275463874,0.43365090824259367
npi_Deva,Deva,mid,0.013705783366065882,1.1380944993261743
swh_Latn,Latn,low,0.00607685617730169,5.537698599040787
yor_Latn,Latn,low,0.0018023516264318582,5.968706929734737
zul_Latn,Latn,low,0.030550292917912007,5.356945975664843
hau_Latn,Latn,low,0.002412631708906191,5.906608666189112
amh_Ethi,Ethi,low,0.012342070404425141,0.8245628942097007
ibo_Latn,Latn,low,0.001728298532416013,5.548563316645341
vie_Latn,Latn,mid,0.0002913389864493735,5.322434040539823
ind_Latn,Latn,mid,0.01067379351259719,5.904542909978374
tha_Thai,Thai,mid,1.5019850688551242,2.907481272304507
khm_Khmr,Khmr,mid,2.15880403527335,4.701110942562062
sin_Sinh,Sinh,low,0.001212152112511018,0.602990391609767
lao_Laoo,Laoo,low,1.432593542805349,5.677235150042738
mya_Mymr,Mymr,low,0.14217207229493514,0.9000021706833606
kat_Geor,Geor,low,0.004828443121351933,0.6505484626294818
khk_Cyrl,Cyrl,low,0.002668139098467389,0.4894583882412142
