language,script,resource_tier,entities_only_bleu,entities_only_chrf
spa_Latn,Latn,high,3.664669322516543e-07,3.7229748009076182
fra_Latn,Latn,high,9.202990647764057e-07,3.9873985171418673
deu_Latn,Latn,high,7.987788692816368e-06,4.244295438791379
por_Latn,Latn,high,2.579899284094828e-06,4.186333583105709
ita_Latn,Latn,high,2.006455839384699e-06,4.218779570722196
zho_Hans,Hans,high,2.3454114295636432,4.441022319374173
jpn_Jpan,Jpan,high,0.12828447624683342,0.6524670696073573
rus_Cyrl,Cyrl,high,1.7700657631434933e-06,0.2385891539793324
arb_Arab,Arab,high,8.292534074943234e-07,0.08429969288066397
kor_Hang,Hang,high,0.00012933248834516976,1.757994251032569
ben_Beng,Beng,mid,1.596048244861222e-06,0.08542108091255396
hin_Deva,Deva,mid,2.8448440535357383e-08,0.07309567669699638
urd_Arab,Arab,mid,1.1291654043713832e-08,0.05124785664094221
tam_Taml,Taml,mid,1.772815053440684e-05,0.11735561171298914
tel_Telu,Telu,mid,6.404794292301871e-05,0.7943661985563346
mar_Deva,Deva,mid,3.1021662126096045e-06,0.076680335189169
npi_Deva,Deva,mid,5.234872133803819e-05,0.5936822014523631
swh_Latn,Latn,low,1.1974840827132125e-05,4.2585007232422125
yor_Latn,Latn,low,1.2166330642316167e-06,4.696314939677924
zul_Latn,Latn,low,0.0002174029537549065,4.109567221480498
hau_Latn,Latn,low,1.5328997386729989e-06,4.525379191608252
amh_Ethi,Ethi,low,2.2407010514757794e-05,0.14032328599249924
ibo_Latn,Latn,low,1.2150989604671464e-06,4.22350365080633
vie_Latn,Latn,mid,4.3074323276207345e-08,4.156074142832181
ind_Latn,Latn,mid,3.2883505063632054e-05,4.484673960978625
tha_Thai,Thai,mid,0.38007751275562063,1.7405915525755509
khm_Khmr,Khmr,mid,0.49045014661187253,3.741665238024671
sin_Sinh,Sinh,low,1.2533167776610536e-06,0.14050371925452462
lao_Laoo,Laoo,low,0.1786722310218492,4.484117577265127
mya_Mymr,Mymr,low,0.007323413716960047,0.6722606504775525
kat_Geor,Geor,low,6.218819024681854e-06,0.21741442804842007
khk_Cyrl,Cyrl,low,9.329403584576643e-07,0.0501608237399963
