language,script,resource_tier,entities_only_bleu,entities_only_chrf
spa_Latn,Latn,high,4.380009654961033e-11,0.920699428940602
fra_Latn,Latn,high,7.724608542502294e-11,0.9496109811681093
deu_Latn,Latn,high,1.5129849527307964e-09,1.0208652549491108
por_Latn,Latn,high,3.10453618949509e-10,0.9738123272608111
ita_Latn,Latn,high,1.9950993069504755e-10,0.9367708153068692
zho_Hans,Hans,high,0.607368160457052,1.8856120066348208
jpn_Jpan,Jpan,high,0.34391543376409117,0.5784745270563797
rus_Cyrl,Cyrl,high,3.2151214545038793e-09,0.35480634272938694
arb_Arab,Arab,high,1.7614392879104067e-08,0.3808834812553586
kor_Hang,Hang,high,2.8534637922535385e-07,0.7443002535163092
ben_Beng,Beng,mid,3.770837731926688e-08,0.32077894649870126
hin_Deva,Deva,mid,1.3927076194622679e-10,0.4645478202599597
urd_Arab,Arab,mid,8.220655822982565e-11,0.4244162021756601
tam_Taml,Taml,mid,2.5791976595958813e-07,0.43976673117739384
tel_Telu,Telu,mid,2.4143914617323756e-07,0.5612711749854511
mar_Deva,Deva,mid,2.414552227120582e-08,0.33917981094564387
npi_Deva,Deva,mid,2.6341329254752546e-07,0.5323330800174995
swh_Latn,Latn,low,3.6401649412106633e-09,0.981243363822063
yor_Latn,Latn,low,1.6834623618144573e-10,0.9171109425065398
zul_Latn,Latn,low,8.036339042878663e-07,0.8925855876957572
hau_Latn,Latn,low,2.6251967042929357e-10,1.054675154647398
amh_Ethi,Ethi,low,1.154463451094566e-06,0.6608793239414719
ibo_Latn,Latn,low,1.789895586213271e-10,1.0147311544028284
vie_Latn,Latn,mid,8.316372116341158e-13,0.8663253836561327
ind_Latn,Latn,mid,9.315735057343552e-09,0.9986532122041617
tha_Thai,Thai,mid,0.0651083832516764,0.9538984047058922
khm_Khmr,Khmr,mid,0.020490770946902475,0.7116864031710304
sin_Sinh,Sinh,low,3.806726563344533e-09,0.440604227486461
lao_Laoo,Laoo,low,0.007927270326306643,0.8383213615361205
mya_Mymr,Mymr,low,7.952150672758639e-05,0.07469564857412891
kat_Geor,Geor,low,8.929199259677636e-08,0.40370322115167534
khk_Cyrl,Cyrl,low,2.282946345586592e-08,0.42590760101506786
